handle;displayName;description;centrality;pageRank;community;insideFollowers;followersCount;followsCount;postsCount
meghankroberts.bsky.social;Meghan K. Roberts;Historian @ Bowdoin, 2023-24 fellow USIAS & Fulbright in Strasbourg | 18thc France, sci/med, gender | Author: Sentimental Savants (UChicago) | Currently: public experts, health wars | she/her | My views | meghankroberts.com;6,21756564666489e+04;3,09049460525929e-04;8;322;872;747;244
jbyoder.org;Jeremy B. Yoder 🖖🏻🌿🏳️‍🌈📈;"Evolutionary biologist, runner, writer, gay. Not necessarily in that order. LAX and SEA

Also ecoevo.social/@jby, jbyoder.org";4,32943256430113e+04;3,23460848192861e-04;7;305;1174;802;798
fennert.bsky.social;Fenner Tanswell;Philosopher of Mathematics and Logic working at TU Berlin. Also into epistemology, Xphi and the philosophy of extinction. Flightfree and carfree fennertanswell.com;7,86468564208401e+02;5,13897127905257e-05;3;48;133;125;52
kristofsmeyers.bsky.social;Kristof Smeyers;natural + supernatural histories 🗃️ | editor + essays Dutch Review of Books | RAAF (2022) | WOLF (2023) | SUPERNATURAL BODIES (2024) | ORKA (2025) | Patria fellow of religion, culture and society at KU Leuven;3,24538377197813e+04;1,90338486875463e-04;8;173;807;842;647
jdmiller.bsky.social;Josh Miller;Psychology professor interested in personality and psychopathology. ;2,87821448701639e+03;7,19538967228020e-05;5;71;194;197;22
labradorice.bsky.social;Robert Way;"Labrador Kallunângajuk from Vâli. Dad. Hunter. Northern climate change researcher. Geography prof 
@queensu. Views are my own.";6,92133424668000e+03;9,81930993507232e-05;7;63;263;584;72
rebeccaperetzlange.bsky.social;Rebecca Peretz-Lange;Asst Prof of Psychology @ SUNY | Formerly @ Wesleyan, Tufts, Boston U, Harvard | 🏳️‍🌈🏳️‍⚧️ she/her | studying kids' conceptions of identity & inequality;1,46859259042159e+03;1,20085240317485e-04;5;145;243;83;0
alexgathomas.bsky.social;Alex Thomas;Institute for Government: civil service and policy-making. Ex-Cabinet Office, Defra, Dept of Health;1,20940531400109e+03;9,79916311796816e-05;4;52;601;292;67
conspirator0.bsky.social;Conspirador Norteño;"Data Scientist/Musician/Participant in the General Confusion.

Resist autocracy and research/counter disinformation. I serve the realm.

https://conspirator0.substack.com/
https://www.youtube.com/watch?v=F4_Li-f6DRQ";1,52767234607360e+04;1,49759888936652e-04;3;88;1634;771;316
peterkok.bsky.social;Peter Kok;Cognitive neuroscientist using human neuroimaging to study how our expectations influence the way we perceive the world. https://www.fil.ion.ucl.ac.uk/team/visual-perception-team/;8,49787524065804e+03;1,79699648474082e-04;5;223;479;420;28
adamsteinbaugh.bsky.social;Adam Steinbaugh;Philly. First Amendment lawyer at FIRE. Licensed in CA, PA. Opinions my own. ;1,78850383875537e+03;2,30429247977847e-04;1;86;1085;276;141
marivalimaki.bsky.social;Mari Välimäki;Historian of #earlymodernity, #gender, #youth & #academiclife. Writing in Finnish, Swedish & English. IG: mainmaki;1,04208854193692e+04;6,47862699431303e-05;9;63;201;266;27
gscumming.bsky.social;Graeme Cumming;Ecologist of the frontiers... Prof at University of Western Australia & posting on ecology, conservation, academic life.;2,73898487823230e+03;6,86670078832114e-05;7;59;220;221;21
aaronbornstein.bsky.social;aaron bornstein;"assistant professor, cognitive sciences, uc irvine

https://aaron.bornstein.org/

@aaronbornstein@neuromatch.social
";1,67658995671121e+04;1,70586631977506e-04;5;198;389;289;10
ronaldhartz.bsky.social;Ronald Hartz;organization theorist with an interest in power and politics, discourse, critical management studies, popular culture, higher education and alternative forms of work and organization;3,37559257077605e+03;4,56532749572379e-05;3;43;182;225;63
oscarw.bsky.social;Oscar;PhD student in History and Philosophy of Science at HPS Cambridge. Visiting Fellow at Institute Vienna Circle. ;2,96578210747628e+03;9,03086492212370e-05;3;94;159;228;22
colinsmithpsych.bsky.social;Colin Tucker Smith;Dad and partner | Associate Professor, University of Florida | implicit social cognition | reading and tennis | he/him;2,81388943011290e+03;1,00441989274285e-04;5;104;196;215;16
mavadillo.bsky.social;Miguel Vadillo;Experimental psychologist at UAM | Working on unconscious cognition and reproducible research | President of SEPEX | Coeditor of Ciencia Cognitiva | Father of Scylla and Charybdis;3,03058875526570e+03;6,64846107513862e-05;5;71;176;250;14
frediotto.bsky.social;Dr Friederike Otto ;🇬🇧 🇪🇺 physicist, philosopher, @Grantham_IC, IPCC AR6, mum, author of Angry Weather: http://tinyurl.com/angry-weather, she/her 🌈 it's Dr Otto (NOT Mrs);6,45637675555153e+00;1,10324409752797e-04;7;69;967;3;9
hannahrsnyder.bsky.social;Hannah R Snyder;"Assistant Prof. of Psychology @BrandeisU. Internalizing psychopathology, stress and cognition. Open science. 
https://www.brandeis.edu/psychology/cope-lab/";7,22245896338050e+03;8,46293834716326e-05;5;98;240;250;180
barryfriedman1.bsky.social;Barry Friedman;"Professor @nyulaw. Director @policingproject. Litigator, author (and dad). Author - Unwarranted: Policing Without Permission; The Will of the People; Open Book";1,60157201236297e+03;1,36557623853931e-04;1;99;295;173;20
jenniferhadden.bsky.social;Jennifer Hadden;Associate Professor, University of Maryland | Climate change, social movements, NGOs, organizational studies | www.jenniferhadden.com;1,16014090824284e+03;6,40148421598744e-05;7;42;90;58;0
ellgood.bsky.social;Ellen P. Goodman;Information law prof @ Rutgers. On loan to NTIA, US Commerce (AI policy). ;7,46147554266974e+02;1,26327401776863e-04;1;68;274;109;20
marydepascale.bsky.social;Mary DePascale;NSF postdoctoral fellow at Boston College studying early math cognition, family math engagement, and playful learning | she/her;3,39579860018703e+03;7,65180709810761e-05;5;84;157;216;0
maxkrahe.bsky.social;Max Krahé;Co-founder & director Dezernat Zukunft. Democracy/capitalism, 1970s, now finding my way into geoeconomics. Previously postdoc at The New Institute (Hamburg), PhD (Political Science) Yale. Website: www.maxkrahe.com;9,50659505261590e+02;6,69867729775116e-05;4;54;533;84;37
dancohen.bsky.social;Dan Cohen ;Critical urban and economic geographer studying the marketization of education and other social institutions (he/him). https://scholar.google.ca/citations?user=S265d9kAAAAJ&hl=en;4,29380346566754e+03;7,00959647948529e-05;3;55;199;227;14
zsw.bsky.social;ZSW;"Formerly nerdosyndical

https://abolition.university/";1,06267713784911e+04;1,71104738290978e-04;3;108;551;715;628
premeemohamed.com;Premee Mohamed;Writer, scientist, bug. she/her. #yeg. Winner of a Nebula, World Fantasy, and Aurora award! Hugo, Ignyte, BFA, Locus, and Crawford award finalist. 📚🪲 Rep: Michael Curry. Find me at www.premeemohamed.com ;3,47467883941785e+04;2,93323266807835e-04;7;187;5277;1790;9915
nschneider03.bsky.social;Norah Schneider, PhD;"Historian, specifically disaster history, but I like it all/Consultant/Researcher/Humanities PhD
Always up for talking about cats, books, and reality TV (esp. Bravo)";4,90536098834402e+04;1,20509716481937e-04;8;131;358;632;19
jdaldern.bsky.social;Jared Dahl Aldern;Fire historian, burn organizer, author and anthology editor, grant writer ;5,62618388735309e+03;8,14306024835239e-05;7;68;271;240;159
alexoberlaender.bsky.social;Alex Oberländer;"Soviet and Russian History
Cultural History of Work
History of Sexual Violence
History of Emotions
researcher @EmotionsMpib
associate editor @kritikajournal
#skystorian";3,08015240346384e+03;6,50554057637795e-05;8;59;211;232;16
oxforddemsci.bsky.social;Leverhulme Centre for Demographic Science, Oxford University;"Interdisciplinary research center based at the University of Oxford and Oxford Population Health - disrupting and realigning #demography. Funded by @leverhulme.bsky.social
https://www.demography.ox.ac.uk/";1,37483150495063e+03;4,77181282265154e-05;2;40;169;145;9
chrismanias.bsky.social;Chris Manias;Historian of science based at King's College London, working on history of evolutionary & deep-time sciences and environmental history. Runs #PopPalaeo ( www.poppalaeo.com ). ;2,51441511657409e+04;1,64636246774446e-04;8;165;391;411;30
stephanietepper.bsky.social;Stephanie Tepper;Social psychologist working on interventions to promote economic opportunity | Associate Fellow at Office of Evaluation Sciences in the govt and postdoc at Cornell | 🏳️‍🌈;6,70235923646323e+02;6,27637105641656e-05;5;67;125;142;6
drnatashadowey.bsky.social;Dr Natasha Dowey;"Assoc Prof in Sustainable Geoscience & Volcanology at Sheffield Hallam. Posting about explosive volcanism, hazard and risk, equitable, multidisciplinary geoscience, and the juggles of academia! Creator of www.GeosciencefortheFuture.com. She/her.
";3,75524687600699e+03;1,01623666236038e-04;7;94;560;172;135
sarahtaber.bsky.social;Sarah Kendall Taber;Crop science & manureposting. Host of Farm to Taber podcast, patreon.com/farmtotaber. Now running for Commissioner of Agriculture for North Carolina, Nov 2024.;2,61033585102183e+04;1,93447295293184e-04;3;158;2867;1370;369
jondmichaels.bsky.social;Jon Michaels;"UCLA Law Prof: Con Law; NatSec; Admin law; Prez Power; Democracy/Rule of Law 
Writing:Vigilante Democracy (1Signal/S&S) 
SSRN https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=499289
UCLA https://law.ucla.edu/faculty/faculty-profiles/jon-d-michaels";5,41352181872928e+03;2,00586793680318e-04;1;159;394;285;208
andyreisinger.bsky.social;Andy Reisinger;"Climate science and policy. Also the occasional photo and random thoughts. Currently serving as Commissioner at He Pou A Rangi, New Zealand Climate Change Commission; former IPCC vice-chair WGIII. Usual disclaimers...";4,04156457595759e+03;1,08054531464313e-04;7;83;511;212;93
kengthsagnl.bsky.social;Kengthsagn Louis;"Incoming assistant prof @BostonCollege | PhD candidate @Stanfordpsych studying self, health, and culture | @SkidmoreCollege alum | @UWCSEA_Dover alum|First-Gen|She/Her/Hers 
kengthsagnlouis.com";5,16627703345337e+02;5,97066178951028e-05;5;53;91;114;5
zaminiqbal.bsky.social;Zamin Iqbal;Professor of Algorithmic and Microbial Genomics at the University of Bath (UK), Group Leader at EMBL-EBI. Pangenomes, drug resistance (esp TB), data structures for DNA search, plasmid evolution, global microbial surveillance. Open Data, reproducibility;2,67073501465831e+04;2,10355032882407e-04;6;229;897;604;128
devingoure.bsky.social;Left Nietzschean;PhD in political theory, posts on philosophy, Nietzsche, mental health, politics, and games of all sorts. “The stillest words are those that bring the storm.”;2,80044333453831e+03;4,57469431989947e-05;3;39;246;209;63
elakdawalla.bsky.social;Emily Lakdawalla;Planetary scientist, freelance science writer and space artist, queer, ADHD, mom. Turns out it’s hard to be all those things at once. Shop at elakdawalla.Etsy.com;1,49335495733064e+04;3,11181879027452e-04;7;191;2423;554;610
ceaubin.bsky.social;C. E. Aubin;Lecturer in History at UC Davis, historian of Nazis in America and post-Holocaust justice & memory, all-around good time gal;1,98824445380881e+03;8,09523453241700e-05;3;82;534;63;40
swarnabh.bsky.social;Swarnabh Ghosh;"PhD candidate at Harvard University; Geography, Political Economy, Planning, Environmental History, and (sometimes) Architecture";1,46376637412998e+03;5,96711103496610e-05;3;42;140;131;49
thementalelf.bsky.social;The Mental Elf;"Hello, I’m the Mental Elf! 🌳🌤️🍄 

Follow me to keep up to date with the latest reliable mental health research.

Read my #MentalHealth #Research blogs https://www.nationalelfservice.net/mental-health/";8,60481859819067e+03;7,41268566183133e-05;5;81;449;394;103
virginiagewin.bsky.social;Virginia Gewin;"2023-24 Nova Media Fellow. PDX-based science journalist writing about climate change, food security, land use, biodiversity loss, and diversity in STEM she/her

Stories here: www.virginiagewin.com";2,62308054627620e+04;2,14454681328484e-04;7;150;597;788;70
albertocairo.bsky.social;Alberto Cairo;Designer, journalist, and professor. Author of 'The Art of Insight' (November of 2023,) 'How Charts Lie' (2019), and some other books. Blog: thefunctionalart.com;9,49831685981609e+02;8,91360105142572e-05;5;65;979;173;111
guynes.bsky.social;sean guynes;acquiring editor + critic and cultural historian of genre and popular fiction + attempted academic + post-optimistic utopian + comrade;1,52843191566311e+04;1,27565611980762e-04;8;113;458;695;28
johnhoganmorris.bsky.social;John Hogan Morris;Economic geographer 🗺 💰  Central banking, risk management & climate finance. Co-author (Mis)managing Macroprudential Expectations;2,73104503190372e+03;5,55083532860686e-05;4;46;155;165;31
mattinbiglari.bsky.social;Mattin Biglari;"Lecturer of Asian and Middle Eastern Environmental History at the University of Bristol. Oil and environmental justice; embodied knowledge; decolonisation; labour; infrastructure; technopolitics; STS; energy humanities";4,11070657744780e+03;6,71602629320695e-05;3;58;159;196;3
kchatzi.bsky.social;Konstantin Chatziathanasiou ;Postdoc Uni Münster, Young Fellow ZiF_Bi, PhD MPI Bonn. Mostly constitutional law and social sciences. http://go.wwu.de/fjq54 ssrn.com/author=4307915;1,13579039426781e+04;5,75423473817812e-05;1;52;230;371;7
timwatson.bsky.social;Tim Watson;English professor, University of Miami. Subtropical gardener. Recovering department chair. Mango: A Florida Cultural History, forthcoming from University of Florida Press.;4,67837904562630e+03;9,26078286235437e-05;8;84;319;431;221
karlwiderquist.bsky.social;Karl Widerquist;"Political philosopher & economist focused on distributive justice. Writes about Basic Income; the ethics of poverty, freedom, inequality, & other stuff. Works at Georgetown-Qatar. Lives in New Orleans. Website: Widerquist.com, email Karl@widerquist.com";2,23447286021859e+03;4,27179922239079e-05;3;31;157;160;86
drannaclark.bsky.social;Dr Anna Clark;"Strategic partnerships, multidisciplinary collaboration, design, digital humanities museums & arts

Twitter @DrAnnaClark";5,82171266284895e+03;5,90771765003089e-05;4;45;307;382;249
queenmab.bsky.social;Mia Brett;Your neighborhood legal historian. Studies the legal construction of race and gender. Back in Brooklyn with the pup. She/her;5,32455936912448e+03;1,24405573467001e-04;3;92;840;214;36
vanjackson.bsky.social;Van Jackson;Working-class kid who ended up an international relations professor. Grand strategizing for the working class. Newsletter, http://Un-Diplomatic.com. Host, https://www.undiplomaticpodcast.com. 🇺🇸🇵🇭. https://www.vanjackson.org ;9,95701764086760e+02;7,69586868766270e-05;4;56;401;112;151
historyasif.bsky.social;Asif Siddiqi;"History professor at Fordham University in NYC
Stuff I like: STS / History of Science / Space / 
Soviet History / South Asia / Comics / Music";1,01142869409830e+04;1,70694665811674e-04;3;140;447;163;64
nneka.bsky.social;Dr. Nneka D. Dennie;editor of Mary Ann Shadd Cary: Essential Writings of a Nineteenth Century Black Radical Feminist (OUP, 2023) | Black study | accidental historian | I laugh at my own jokes;2,52545201416554e+03;1,08586622196639e-04;8;64;304;197;62
jennifervevans.bsky.social;Jen Evans (She/her);Powerlifting professor. German history, visual culture, media and memory. Just published The Queer Art of History: Queer Kinship After Fascism (Duke 2023). Holocaust Memory in the Digital Mediascape is forthcoming. Co-curator of @newfascismsyllabus.com;2,83714327230437e+04;2,12582315978860e-04;8;212;705;576;59
pkhardy.bsky.social;Dr. Penelope K Hardy;Historian of science, technology, & medicine, especially tech of ocean science. Associate history professor at UW-La Crosse. Book review editor for H-Sci-Med-Tech. She/her/hers.;1,32844197832708e+04;1,33501407852298e-04;8;96;232;253;2
sebboo.bsky.social;Sébastien Tremblay ;"Historian (Berlin/Flensburg) First book: global / German / queer history, memory studies. Present project: history of European hiking associations. 
Views my own. He/Him. Grufti 🦦 Nerd & 🩰. Born in Montréal / Tiohtià:ke";3,03139921912260e+04;1,63203603581493e-04;8;168;571;593;153
drnelk.bsky.social;Dov;All fire, no chill. Husband/Father. I philosoPHizeD about Ethics @ UVA, and ever true to Brown. I teach text and thought to HS students in NYC.;1,58066744383805e+04;1,22150140823696e-04;3;109;523;479;280
knightcolumbia.org;Knight First Amendment Institute;"The Knight First Amendment Institute at Columbia University defends the freedoms of speech & the press through litigation, research, & education. 

https://knightcolumbia.org/";2,34189138671404e+03;2,12297033532409e-04;1;106;832;282;202
skrishna.bsky.social;Swapna Krishna;space + science + tech + pop culture. freelance space editor, Inverse. occasionally: Fast Company, Science Friday, NPR, Wired, StarTrek.com. Author of STARGAZING (Chronicle Books, 2023).;3,57043573316909e+03;2,54265673513599e-04;7;130;2217;291;1000
soaziglebihan.bsky.social;Soazig Le Bihan;"Professor of Philosophy at the University of Montana. Philosophy of physics, models, ecology/conservation, and science and values. Strong interest in animal issues and philosophy of law. Working on a book on scientific understanding. 
www.soaziglebihan.org";5,09350599050441e+03;1,07553945734875e-04;3;115;248;182;160
dpjedi.org;Data-PASS JEDI;The Data-PASS Journal Editors Discussion Interface | Building a fund of collective knowledge for editors of social science journals | dpjedi.org;2,30665229400802e+03;5,76232630848964e-05;5;42;71;64;2
mauraquint.bsky.social;maura quint;@behindyourback on twitter, tax policy and jokes. I hate my haircut. complaints, praise and dms to quintmaura @ gmail.com;1,61298191250962e+04;3,40830729030813e-04;3;156;8928;444;1485
natureportfolio.bsky.social;Nature Portfolio;Nature Portfolio’s high-quality products and services across the life, physical, chemical and applied sciences is dedicated to serving the scientific community.;2,62474801603090e+03;1,09266048260471e-04;7;124;1108;45;168
nickbuttrick.bsky.social;Nick Buttrick;Socioecological and cultural psychology. Inequality, guns, & bootstraps aka why America is strange. Asst prof at Wisconsin-Madison. Posts are not my own.;4,86509440053349e+03;9,28439255891104e-05;5;105;216;280;15
datavisfriendly.bsky.social;Michael Friendly;"#rstats developer of graphical methods for categorical and multivariate data; #datavis  history of data visualization; #historicaldatavis; Milestones project
Web: www.datavis.ca
GitHub: github.com/friendly";2,52556121123682e+03;7,21535017945924e-05;5;42;257;119;131
mariejosevantol.bsky.social;Marie-José van Tol;Cognitive neuroscientist - Mood & Cognition -@UMCG, NL. Chair De Jonge Akademie;3,42594785443123e+03;4,95130012564610e-05;3;43;178;105;54
petestrzok.bsky.social;Pete Strzok;26 year FBI and Army veteran. Georgetown School of Foreign Service adjunct professor and alum. NYT/WP bestseller: Compromised;1,11994299705054e+03;1,27858672947802e-04;1;77;4305;63;9
alahav.bsky.social;Alexandra Lahav;"Law professor at Cornell 
Subjects: litigation risk, torts, civil procedure 

https://www.alexandralahav.com/";8,26830642167426e+03;2,37813286405800e-04;1;198;499;324;353
chrismarsicano.bsky.social;Chris Marsicano;Davidson College professor | Director, College Crisis Initiative (C2i)| Studies #highered #edpolitics & #edpolicy | PhD, Vanderbilt | MPP, Duke | Whatever we used to call tweets ≠ Endorsements;2,87278116292535e+03;8,88863711887082e-05;2;76;215;130;7
leising.bsky.social;Daniel Leising;"Psychology Professor at TU Dresden
Member of the network against power abuse in science (@netzwerkmawi.bsky.social) 
Chair of the German Psychological Society's commission on incentive structure, power abuse and scientific misconduct";2,81833814006543e+03;4,95598902554908e-05;5;45;194;122;81
siobhanmcelduff.bsky.social;Siobhán McElduff;"Latinist, 1st gen Irish academic. Author of obscure academic books and slightly less obscure OERs on Roman culture.  Translator of, and far too fond of Cicero.  She/her nó sí/í.



siobhanmcelduff.com";2,81084851219234e+04;1,74441932974173e-04;3;151;1485;963;2575
boddice.bsky.social;Rob Boddice, PhD, FRHistS;"Historian of Emotions, Science, Medicine, Experience, Pain, Placebo/Nocebo. Neuroscience meddler. Cricket. Running. Guitars. #HistMed #HistSci #EmoHist.
Montreal and Tampere. https://www.robboddice.com/";6,88244911249875e+03;9,62812433539368e-05;8;104;246;148;24
gavinfreeguard.bsky.social;Gavin Freeguard;"I will try this properly at some point, promise.

Data (and AI) policy etc person. Currently Institute for Government, Connected by Data, Open Data Institute, Public Digital. Still at the other place @GavinFreeguard.";9,40543226080464e+02;7,09624642252939e-05;4;31;348;283;56
aslak.bsky.social;Aslak Berg;Trade, public policy, economics, research fellow at the Centre for European Reform, formerly with the Norwegian civil service and EFTA;4,01663097351100e+02;6,07348699677832e-05;4;36;288;66;25
drjbeaudry.bsky.social;Dr. Jen Beaudry;"Manager, Researcher Training, Development and Communication at Flinders University; psychology & law researcher; open science advocate";1,09985777249843e+04;6,41197256245514e-05;5;60;149;444;6
kmilne.bsky.social;Dr. Krista A. Milne ;Assistant prof of medieval lit at Leiden University (🇳🇱) working on DH, and medieval English and French lit and book history. Olim University of Ottawa 🇨🇦. She/her. ;1,21181177287991e+05;3,09866639980947e-04;8;344;1023;835;58
brialong.bsky.social;Bria Long;"Interested in how we learn to derive visual meaning. 
NIH K99 postdoc, Fall 2024 Asst. Prof. 
UCSDPsychology. Mom x2, open science advocate. She/her. 
brialong.com | vislearnlab.org";3,85575870119399e+03;1,43181866798224e-04;5;158;305;216;3
jansaijets.bsky.social;Jan Saijets;I am a Saami activist that has been following land use issues for two decades. Dr. Tech. in electrical engineering (radio technology). #LuonnonmetsatSapmi;2,78242537435944e+03;4,89363400199364e-05;9;33;214;329;19
kmarkman.bsky.social;Keith Markman;Social psychology professor at Ohio University studying counterfactual reasoning, regret, free will, momentum, nostalgia, motivated reasoning, misinformation, and conspiratorial thinking. Pleasant and occasionally funny.;7,28857224178937e+03;1,05178006592932e-04;5;118;256;299;1
isharacc.bsky.social;Ishara Casellas Connors;"Higher ed researcher - HSIs, Afro-Latinx/é students, refugee students, and all things racial justice, Assistant Professor at Texas A&M.

isharacasellasconnors.com";8,32704098352187e+02;4,54700978402160e-05;2;33;74;118;15
colourfulhistories.bsky.social;Dr Deborah Lee-Talbot;An Australia-based historian researching Australasian histories | Geek of libraries, archives, women, & gender | History tutor & researcher | Editor for PHA | Presenter | Book reviewer | Foodie | Hiker| www.colourfulhistories.com;1,73008342064818e+04;1,20901887068019e-04;8;131;453;611;347
ebonawitz.bsky.social;Elizabeth Bonawitz ;Assoc. Prof. Learning Sciences, Harvard GSE. Study learning in early childhood using computational modeling & empirical studies. Speaking for self only. She/her;5,80644007020656e+03;2,44740823134261e-04;5;262;504;162;110
genevievelakier.bsky.social;Genevieve Lakier;Law professor at UChicago Law. Thinks a lot about freedom of speech. Curious about this platform.;1,64692907737040e+03;1,61463781522737e-04;1;129;445;79;3
ronitstahl.bsky.social;Ronit Stahl;Historian @ UCBerkeley | Author: Enlisting Faith http://tinyurl.com/yyh2p4tq | current project: religious hospitals & conscience rights | sometimes quilts, sometimes climbs | tweets my own | she/her;1,64234447535388e+04;1,89405928958193e-04;8;159;444;335;56
dryan149.bsky.social;Daniel Kelly;"Philosophizing at the crossroads of phil mind, cognitive science, cultural evolution, moral psychology, and climate change — believer in the green light

https://tinyurl.com/y72qnp9v";1,16519729199945e+04;9,48677737273560e-05;3;103;193;285;24
drboothroyd.bsky.social;Prof Lynda Boothroyd;"Cross-cultural and experimental psychologist / anthropologist - appearance ideals, body image, sexual selection, gender, social transmission.
http://www.boothlab.org";1,09840254714343e+04;1,19582703738782e-04;5;142;333;278;233
cbpolis.bsky.social;Chelsea Polis;Sexual & reproductive health epidemiologist studying contraception, abortion, HIV/STIs, infertility, multipurpose prevention technologies, global public health, research integrity.;1,16284862763859e+04;8,73549173022661e-05;7;69;289;383;4
chadstanton.bsky.social;Nails Nathan;"Dallasite in DC; loves art, history, novels, hiking, and  everything about getting everyone the resources and systems we need to thrive. ";1,29444077406282e+04;2,31381877613238e-04;3;139;2805;1119;8502
jennifermromig.bsky.social;Jennifer Romig ;"Veteran legal writing professor; still positive, eclectic, and pragmatic ";2,25649687250817e+04;1,40534875705193e-04;1;124;413;606;439
michaelhattem.bsky.social;Michael Hattem;"Historian, American Revolution and popular memory | Books: ""The Memory of '76"" (July 2024) and “Past & Prologue” (E210 H38) | Music: National Steel | @Arsenal";3,03752762638273e+03;2,16817341294846e-04;8;124;411;186;31
fvonlucke.bsky.social;Franz von Lucke;Researcher at University of Tübingen. Climate change, EU, critical security studies, global justice, ontological security https://zuse-projekt.de;6,16523983034859e+02;3,94597942170527e-05;4;31;95;109;11
lizetkruyff.bsky.social;Lizet Kruyff ;"food historian, author, reader and gardener.
books a.o. : Mozarts Menu, Twintig Eeuwen Koken en Eten, Puntneuzen en Kersenpitten, Oranje Toetjes
blog: www.lizetkruyff.nl 
blog archive 2007-2022: spinazieacademie.nl 
Formerly known as @spinazieacademi";3,29141314495819e+04;1,17553559417782e-04;8;102;1514;1720;5850
asteinlight.bsky.social;Alexandra Steinlight;Historian of France’s archives, memory, secrecy, aftermath of war. Contingent lecturer at BC and MIT.;1,32682519860987e+03;7,94643565284611e-05;8;66;196;215;3
mjbayly.bsky.social;Martin Bayly;Assistant Professor, @LSEIRDept. Views my own. Interested in history, theory, and South Asia. Author of 'Taming The Imperial Imagination' http://tinyurl.com/2fw6w8n8;4,22167167367342e+02;4,41988695318564e-05;4;34;121;90;5
brianfung.me;Brian Fung;Tech policy reporter for CNN. Backpacking, bikes and video games. There are four lights. ;2,58364901770651e+03;3,11775571276757e-04;1;100;2011;365;285
marykateblake.bsky.social;Mary Kate Blake;Sociologist & Senior Data Scientist at Montana State University. I research college student success, high school counselors, and racial/ethnic identity. On Twitter @MaryKateBlake1;9,73784728874607e+02;3,97733859285872e-05;2;31;81;102;21
irhottakes.bsky.social;Starfish who knows you’ll be back on Twitter in a week;Political science PhD student. Detective Comics Comics poster. Bit of a prick.;1,67075015675530e+01;5,71915610642922e-05;4;43;673;43;214
surliertexan.bsky.social;Alexis Turner;"Historian of science @Harvard // Studies science & political judgment...the history of LSD, social science, salvation by technology, & other waking dreams🏳️‍⚧️

You can support my work at
V: @surliertexan
SS: surliertexan.substack.com";1,15800938604943e+04;1,07706352201876e-04;3;98;471;324;438
tflangkaas.bsky.social;Tomas Formo Langkaas ;"Clinical psychologist by trade. Interested in mental health, science, psychotherapy, visual communication, emotions, music theory. Self-diagnosed introvert. Lives in Norway. Enjoys the outdoors.

https://scholar.google.com/citations?user=-sSXrIgAAAAJ";1,78923061794767e+03;5,41956898528499e-05;5;52;170;249;221
sebfalk.bsky.social;Seb Falk;"Historian of medieval science || Admissions Tutor at Girton College || Cambridge University Proctor. Singer, sailor, runner, father. ""Always generous"" – The New Yorker";1,20427623803330e+04;2,01682529898855e-04;8;156;611;277;61
genuinebilski.bsky.social;Dr. Emma Katherine Bilski;"tired goth ethnohistorian on Conestoga-Susquehannock land. 
used to write about Indigenous Florida; now available for hire. website at emmakatherinebilski.place !
[any pronouns. non-Native. still queer.]";1,57492014963994e+04;1,89513799558943e-04;8;191;741;399;3415
ameliamn.bsky.social;Amelia McNamara;"Associate professor of statistics and data science at the University of St Thomas. Into data visualization and reproducible research, obsessed with R. pronoun.is/she 

website: amelia.mn
mastodon: @vis.social/@amelia ";4,25821567574528e+03;8,45803905841667e-05;5;57;305;294;61
brianrgordon.bsky.social;;"Strategist on the innovation frontier. Cognitive Scientist. 

strategy, agency, imagination, creativity, invention, innovation, (meta)science, organization";2,10467307522630e+04;9,92224399991012e-05;5;101;199;291;179
larrycebula.bsky.social;Larry Cebula ;Public historian, bicyclist, noted bon vivant. ;2,68822603168679e+04;1,29138838562412e-04;8;137;390;796;54
drrobthompson.com;Dr. Rob Thompson 🇺🇦;"Bluesky’s resident Vietnam War historian. Army University Press historian and documentary maker. Author of _Clear, Hold, and Destroy_—a book about pacification in Phú Yên. All views my own.

Слава Україні!

Web: https://www.drrobthompson.com";1,99736089925413e+04;1,66220367553006e-04;8;163;1047;552;772
fahrenfort.bsky.social;Johannes Fahrenfort;Assistant Prof at VU Amsterdam. Neuroscience of consciousness, decision making. Computational modeling. Pet method: EEG. Critical of subjective measures. Co-PI in the  http://consciousbrainlab.com with Simon van Gaal and Timo Stein.;1,41609848597672e+04;1,71239962950245e-04;5;204;446;392;104
hcas.bsky.social;Helsinki Collegium for Advanced Studies;An independent institute for advanced study within the University of Helsinki. We focus on curiosity-driven research within the humanities and social sciences and promote innovative interdisciplinary interaction.;1,49858029997497e+03;4,89391937001207e-05;9;40;135;75;32
4sweb.bsky.social;The Society for Social Studies of Science;We are 4S, an international, nonprofit association devoted to the social studies of science, technology and medicine (#STS). Next Annual meeting Nov 8 - 11, 2023.;3,06801001155935e+03;7,35114838703162e-05;3;79;249;79;62
det.bsky.social;David Thiel;"Harm reduction in technology; tech and research at https://io.stanford.edu & https://tsjournal.org

Engineering lead, AI censorship death star

Also at https://hachyderm.io/@det";7,59218538820501e+02;7,92515668376211e-05;3;34;342;165;113
maireadenright.bsky.social;Máiréad Enright ;Irish academic living in Birmingham. ;1,44035557227722e+04;1,06684233086117e-04;1;104;602;531;126
